Date,Open,High,Low,Close,Adj Close,Volume
2022-01-03,149.610001,150.164993,144.690002,145.339996,145.339996,2622300
2022-01-04,143.139999,143.860001,131.759995,135.910004,135.910004,5060300
2022-01-05,134.490005,139.389999,127.690002,127.970001,127.970001,3763800
2022-01-06,127.430000,140.750000,126.059998,137.279999,137.279999,7194700
2022-01-07,136.570007,138.869995,130.000000,132.270004,132.270004,3173200
2022-01-10,129.970001,133.570007,121.489998,133.449997,133.449997,6007900
2022-01-11,133.559998,144.949997,132.248993,143.639999,143.639999,5756600
2022-01-12,148.339996,152.494995,140.559998,140.660004,140.660004,4768300
2022-01-13,139.679993,140.929993,131.559998,131.779999,131.779999,3702700
2022-01-14,130.869995,134.539993,127.830002,131.529999,131.529999,4208100
2022-01-18,129.850006,131.110001,125.050003,128.580002,128.580002,5135100
2022-01-19,128.399994,133.020004,125.599998,131.759995,131.759995,4208800
2022-01-20,134.125000,136.850006,126.379997,126.779999,126.779999,2898100
2022-01-21,126.029999,126.410004,116.250000,116.949997,116.949997,5115800
2022-01-24,112.040001,119.050003,106.279999,117.349998,117.349998,5587300
2022-01-25,113.000000,114.400002,106.269997,109.389999,109.389999,4877900
2022-01-26,113.000000,113.709999,99.330002,101.470001,101.470001,6604000
2022-01-27,103.150002,106.180000,95.879997,96.089996,96.089996,5100400
2022-01-28,99.300003,105.059998,92.779999,103.669998,103.669998,6934000
2022-01-31,104.889999,114.970001,104.889999,113.489998,113.489998,4768000
2022-02-01,112.400002,117.239998,110.260002,114.620003,114.620003,3997500
2022-02-02,116.180000,116.269997,102.809998,104.169998,104.169998,3919600
2022-02-03,100.230003,101.610001,91.959999,92.290001,92.290001,6618400
2022-02-04,93.529999,101.339996,93.089996,98.489998,98.489998,4113900
2022-02-07,97.589996,101.949997,95.315002,97.910004,97.910004,2854200
2022-02-08,95.290001,101.180000,94.800003,100.510002,100.510002,2913400
2022-02-09,102.330002,109.720001,102.150002,108.129997,108.129997,5295700
2022-02-10,99.089996,105.869003,96.510002,97.809998,97.809998,8779300
2022-02-11,98.709999,101.389999,93.610001,95.010002,95.010002,3382300
2022-02-14,95.440002,99.599998,94.750000,97.110001,97.110001,3472300
2022-02-15,99.519997,101.989998,95.750000,101.809998,101.809998,3767000
2022-02-16,99.790001,100.205002,93.550003,94.889999,94.889999,11385300
2022-02-17,115.600998,116.000000,100.529999,105.029999,105.029999,47405700
2022-02-18,101.050003,105.389999,95.930000,96.209999,96.209999,12010000
2022-02-22,95.000000,102.889999,89.519997,93.169998,93.169998,11629900
2022-02-23,94.169998,96.099998,89.300003,90.550003,90.550003,5647600
2022-02-24,86.879997,100.919998,85.177002,100.419998,100.419998,6639000
2022-02-25,97.699997,100.900002,94.279999,100.339996,100.339996,3638700
2022-02-28,101.029999,105.875000,97.559998,104.949997,104.949997,4230200
2022-03-01,103.989998,105.050003,100.400002,102.430000,102.430000,3090300
2022-03-02,103.599998,104.320000,100.000000,103.620003,103.620003,3297800
2022-03-03,102.400002,105.150002,99.809998,101.680000,101.680000,4794900
2022-03-04,101.629997,102.000000,88.080002,89.860001,89.860001,7362000
2022-03-07,92.730003,93.209999,79.110001,79.860001,79.860001,7716000
2022-03-08,80.360001,87.220001,77.320000,85.010002,85.010002,6802100
2022-03-09,86.959999,93.610001,86.959999,91.839996,91.839996,4903600
2022-03-10,90.000000,92.230003,87.239998,89.650002,89.650002,4838200
2022-03-11,92.629997,94.790001,86.480003,86.970001,86.970001,3621200
2022-03-14,84.900002,86.089996,74.320000,76.059998,76.059998,9861200
2022-03-15,76.019997,80.769997,76.000000,79.769997,79.769997,6096000
2022-03-16,83.199997,90.779999,83.000000,90.500000,90.500000,6035200
2022-03-17,88.199997,96.824997,87.879997,96.089996,96.089996,5038400
2022-03-18,97.150002,107.559998,96.879997,107.290001,107.290001,7925200
2022-03-21,103.239998,108.400002,102.370003,107.099998,107.099998,5779200
2022-03-22,105.919998,112.820000,105.190002,111.250000,111.250000,3806800
2022-03-23,108.000000,116.809998,107.164001,114.339996,114.339996,3635200
2022-03-24,114.489998,115.660004,108.589996,114.879997,114.879997,2935300
2022-03-25,113.940002,114.044998,104.169998,105.290001,105.290001,5739100
2022-03-28,106.660004,115.110001,104.860001,114.430000,114.430000,3364500
2022-03-29,116.849998,125.110001,115.459999,123.550003,123.550003,5660300
2022-03-30,122.300003,129.240005,113.400002,118.230003,118.230003,7445900
2022-03-31,117.730003,120.319000,115.260002,117.190002,117.190002,3022100
2022-04-01,118.800003,121.970001,117.250000,120.900002,120.900002,2627100
2022-04-04,122.559998,130.199997,121.959999,127.209999,127.209999,3646600
2022-04-05,127.650002,127.959999,115.699997,118.199997,118.199997,4735000
2022-04-06,115.190002,115.190002,106.589996,113.599998,113.599998,3922700
2022-04-07,112.650002,116.180000,107.279999,110.910004,110.910004,4238100
2022-04-08,109.000000,111.879997,105.309998,106.419998,106.419998,3239100
2022-04-11,104.220001,105.860001,101.540001,104.720001,104.720001,4887000
2022-04-12,107.739998,112.750000,103.779999,104.419998,104.419998,2898200
2022-04-13,103.860001,112.139999,102.834999,110.760002,110.760002,2747900
2022-04-14,109.910004,112.480003,107.820000,109.309998,109.309998,2150300
2022-04-18,106.459999,108.000000,99.220001,103.099998,103.099998,3513400
2022-04-19,103.099998,108.489998,101.000000,106.510002,106.510002,2861500
2022-04-20,107.650002,107.650002,99.050003,100.139999,100.139999,4398100
2022-04-21,101.860001,103.500000,91.160004,91.949997,91.949997,5474700
2022-04-22,91.489998,95.500000,88.690002,89.000000,89.000000,5625000
2022-04-25,88.000000,93.167999,87.019997,91.250000,91.250000,7969600
2022-04-26,90.790001,91.430000,83.580002,84.260002,84.260002,7282000
2022-04-27,84.470001,87.849998,81.339996,82.220001,82.220001,3383900
2022-04-28,84.949997,88.449997,82.695000,87.389999,87.389999,4835100
2022-04-29,84.629997,89.730003,81.269997,81.430000,81.430000,3151500
2022-05-02,81.620003,85.370003,78.790001,82.260002,82.260002,4814800
2022-05-03,81.389999,83.459999,78.839996,79.180000,79.180000,3959100
2022-05-04,76.400002,82.269997,70.500000,81.639999,81.639999,9944900
2022-05-05,78.120003,78.430000,70.040001,73.150002,73.150002,11392600
2022-05-06,72.559998,77.000000,63.110001,72.110001,72.110001,19772400
2022-05-09,69.019997,71.699997,63.320000,64.180000,64.180000,10907000
2022-05-10,67.459999,69.940002,62.029999,68.529999,68.529999,9452600
2022-05-11,66.230003,69.080002,58.389999,59.509998,59.509998,9039300
2022-05-12,58.880001,70.839996,57.599998,65.589996,65.589996,12163700
2022-05-13,70.279999,76.500000,68.459999,73.709999,73.709999,9432100
2022-05-16,71.500000,73.550003,65.580002,65.790001,65.790001,6334700
2022-05-17,69.019997,71.169998,67.430000,69.379997,69.379997,6888200
2022-05-18,67.099998,68.449997,63.000000,63.630001,63.630001,4192800
2022-05-19,64.000000,69.000000,61.220001,66.949997,66.949997,7103000
2022-05-20,69.209999,69.980003,60.630001,66.230003,66.230003,8879100
2022-05-23,65.000000,67.955002,63.150002,67.809998,67.809998,4384900
2022-05-24,67.300003,67.500000,60.904999,62.660000,62.660000,5180400
2022-05-25,61.360001,69.489998,61.360001,68.480003,68.480003,5307800
2022-05-26,68.510002,75.000000,68.205002,73.690002,73.690002,5184300
2022-05-27,75.599998,79.112000,75.330002,78.089996,78.089996,4755100
2022-05-31,78.800003,81.440002,75.504997,76.910004,76.910004,8812300
2022-06-01,77.199997,77.440002,69.699997,71.949997,71.949997,8704900
2022-06-02,70.199997,73.080002,67.739998,72.970001,72.970001,8603700
2022-06-03,68.900002,71.114998,66.650002,68.040001,68.040001,5572500
2022-06-06,70.599998,71.625000,67.800003,69.949997,69.949997,5235400
2022-06-07,68.500000,70.224998,67.720001,69.930000,69.930000,4130600
2022-06-08,70.000000,74.739998,69.250000,73.790001,73.790001,6005100
2022-06-09,72.050003,72.470001,68.239998,68.650002,68.650002,5551000
2022-06-10,66.279999,66.750000,61.230000,62.180000,62.180000,6763700
2022-06-13,58.570000,60.220001,57.959999,58.380001,58.380001,5614400
2022-06-14,58.700001,60.290001,57.310001,58.459999,58.459999,4937700
2022-06-15,59.240002,64.709999,59.240002,63.619999,63.619999,6286500
2022-06-16,59.820000,60.497002,56.669998,58.380001,58.380001,6051900
2022-06-17,58.099998,62.799999,58.099998,61.689999,61.689999,7727900
2022-06-21,62.820000,66.029999,62.810001,63.070000,63.070000,4531500
2022-06-22,62.000000,66.800003,61.639999,65.150002,65.150002,5852200
2022-06-23,66.120003,70.639999,65.040001,70.269997,70.269997,4250600
2022-06-24,72.000000,74.879997,70.760002,74.110001,74.110001,9848800
2022-06-27,74.250000,74.639999,70.070000,71.199997,71.199997,3443900
2022-06-28,71.239998,73.050003,67.180000,67.449997,67.449997,3409600
2022-06-29,66.070000,68.070000,64.580002,67.419998,67.419998,2906000
2022-06-30,66.320000,66.709999,60.520000,64.169998,64.169998,5383300
2022-07-01,65.050003,69.330002,65.050003,67.949997,67.949997,4234400
2022-07-05,66.220001,75.059998,65.690002,74.900002,74.900002,6564100
2022-07-06,67.790001,70.000000,66.839996,69.360001,69.360001,14984000
2022-07-07,69.330002,76.000000,68.180000,76.000000,76.000000,6479600
2022-07-08,74.199997,77.415001,72.559998,74.959999,74.959999,4922200
2022-07-11,74.190002,74.589996,70.739998,71.320000,71.320000,3599100
2022-07-12,72.080002,73.919998,70.400002,71.129997,71.129997,2947600
2022-07-13,68.349998,74.199997,68.010002,71.739998,71.739998,3848100
2022-07-14,71.239998,71.675003,68.339996,69.330002,69.330002,4480300
2022-07-15,71.400002,71.500000,67.680000,70.099998,70.099998,3614100
2022-07-18,71.779999,75.800003,71.737999,72.440002,72.440002,4701100
2022-07-19,74.000000,75.114998,72.349998,73.739998,73.739998,3212300
2022-07-20,75.050003,78.199997,72.209999,77.169998,77.169998,4617300
2022-07-21,76.400002,77.809998,73.879997,77.610001,77.610001,5054000
2022-07-22,79.010002,79.370003,72.050003,73.449997,73.449997,5978000
2022-07-25,73.120003,73.230003,70.349998,71.760002,71.760002,2845900
2022-07-26,70.010002,70.269997,67.129997,68.699997,68.699997,3495600
2022-07-27,70.760002,71.989998,68.449997,71.419998,71.419998,3458900
2022-07-28,71.000000,71.720001,66.629997,70.070000,70.070000,5753700
2022-07-29,68.620003,70.529999,68.019997,69.750000,69.750000,4292300
2022-08-01,68.400002,72.309998,66.709999,72.029999,72.029999,4976400
2022-08-02,74.320000,77.639999,74.091003,75.739998,75.739998,7062900
2022-08-03,77.000000,80.000000,76.679001,79.500000,79.500000,7598700
2022-08-04,80.949997,82.389999,78.904999,81.360001,81.360001,10185500
2022-08-05,84.160004,87.000000,79.500000,80.290001,80.290001,18313000
2022-08-08,81.040001,83.860001,74.870003,75.540001,75.540001,8730800
2022-08-09,74.400002,74.510002,70.459999,73.029999,73.029999,6710000
2022-08-10,76.239998,81.300003,75.760002,80.599998,80.599998,8835700
2022-08-11,81.639999,84.190002,77.529999,77.889999,77.889999,5567900
2022-08-12,77.809998,78.900002,76.095001,77.370003,77.370003,6688500
2022-08-15,76.440002,78.690002,76.320000,77.760002,77.760002,3074400
2022-08-16,77.400002,77.440002,73.300003,73.570000,73.570000,5359700
2022-08-17,72.029999,72.029999,67.360001,68.180000,68.180000,8518700
2022-08-18,67.570000,68.129997,66.089996,66.699997,66.699997,3740000
2022-08-19,64.269997,65.580002,62.700001,64.989998,64.989998,5561300
2022-08-22,64.050003,65.620003,62.099998,63.330002,63.330002,6974300
2022-08-23,64.139999,65.599998,63.180000,63.619999,63.619999,3417500
2022-08-24,63.380001,65.900002,63.000000,64.120003,64.120003,3742200
2022-08-25,65.220001,65.389999,63.380001,64.949997,64.949997,2805500
2022-08-26,64.809998,65.588997,60.900002,61.660000,61.660000,3524100
2022-08-29,60.590000,64.000000,60.000000,60.560001,60.560001,6717300
2022-08-30,61.990002,62.660000,59.610001,61.419998,61.419998,3709900
2022-08-31,62.000000,62.360001,59.480000,59.900002,59.900002,4313000
2022-09-01,58.799999,59.658001,56.599998,58.880001,58.880001,4092800
2022-09-02,60.000000,60.430000,57.720001,58.230000,58.230000,4358100
2022-09-06,58.259998,58.860001,56.950001,58.230000,58.230000,5699000
2022-09-07,57.790001,59.299999,57.250000,59.119999,59.119999,5962900
2022-09-08,57.500000,60.779999,57.500000,59.330002,59.330002,4480300
2022-09-09,60.000000,65.135002,59.830002,64.309998,64.309998,8180900
2022-09-12,64.779999,65.959999,63.849998,65.870003,65.870003,5924700
2022-09-13,62.056000,63.049999,60.520000,62.070000,62.070000,6081700
2022-09-14,61.509998,64.650002,61.330002,64.529999,64.529999,6238500
2022-09-15,64.330002,68.160004,63.950001,64.410004,64.410004,6780600
2022-09-16,61.689999,62.560001,59.110001,59.130001,59.130001,11409300
2022-09-19,58.450001,59.340000,56.914001,58.880001,58.880001,6236400
2022-09-20,58.250000,59.540001,57.570000,57.660000,57.660000,5366600
2022-09-21,57.799999,60.389999,57.099998,57.169998,57.169998,3133500
2022-09-22,56.790001,57.509998,53.730000,54.000000,54.000000,4677800
2022-09-23,52.820000,53.529999,50.540001,52.009998,52.009998,5105000
2022-09-26,51.520000,53.430000,50.439999,50.730000,50.730000,4106600
2022-09-27,52.340000,53.180000,50.200001,51.150002,51.150002,3112500
2022-09-28,51.220001,53.040001,51.009998,52.700001,52.700001,2850800
2022-09-29,51.070000,51.560001,48.939999,49.840000,49.840000,3107900
2022-09-30,49.439999,51.435001,49.387001,49.450001,49.450001,3223200
2022-10-03,49.730000,51.369999,47.520000,50.520000,50.520000,5868800
2022-10-04,52.439999,54.730000,52.180000,54.160000,54.160000,4934300
2022-10-05,52.500000,53.700001,50.810001,52.990002,52.990002,4652900
2022-10-06,53.270000,54.060001,51.790001,52.990002,52.990002,2384500
2022-10-07,51.090000,51.349998,48.860001,49.389999,49.389999,3503000
2022-10-10,49.599998,49.799999,46.560001,47.709999,47.709999,4774200
2022-10-11,44.750000,46.720001,41.770000,44.849998,44.849998,14080800
2022-10-12,44.849998,47.169998,44.349998,46.720001,46.720001,5706600
2022-10-13,44.000000,47.320000,43.110001,45.910000,45.910000,8569400
2022-10-14,47.000000,47.400002,43.049999,43.060001,43.060001,4771300
2022-10-17,44.430000,46.709999,44.430000,45.709999,45.709999,4325000
2022-10-18,47.400002,48.759998,45.855000,46.900002,46.900002,4277500
2022-10-19,45.500000,46.340000,44.560001,45.779999,45.779999,4134200
2022-10-20,46.130001,47.930000,45.384998,45.529999,45.529999,4208500
2022-10-21,44.860001,45.330002,43.419998,45.230000,45.230000,4633200
2022-10-24,44.599998,44.959999,41.365002,44.430000,44.430000,4199700
2022-10-25,44.869999,47.599998,44.439999,47.459999,47.459999,3317700
2022-10-26,46.840000,49.514999,46.349998,47.230000,47.230000,3387100
2022-10-27,47.410000,48.320000,45.860001,46.340000,46.340000,3611000
2022-10-28,45.310001,47.709999,44.540001,47.060001,47.060001,6721100
2022-10-31,45.419998,45.639999,42.180000,43.529999,43.529999,13377700
